N.B	EH N B
BOLOS	B OW L OW Z
CRUDE-ISH	K R UW D IH SH
ARN'LL	AA R N L
PUSHIEST	P UH SH IY AH S T
AC'-CENTS	EY S IY S EH N T S
EX-PRESS	EH K S P R EH S
SYL'-LA-BLES	S IH L L AA B L Z
PEO'-PLE	P IY AH P AH L
HAV'-ING	HH AE V IH NG
GREAT'-ER	G R EY T ER
FA-CIL'-I-TY	F AA S IH L AY T AY
AC-CEN'-TU-A-BIL'-I-TY	EY S IY S EH N T UW EY B IH L AY T AY
ARTSIEST	AA R T S IY AH S T
CELEBRATION'S	S EH L AH B R EY SH AH N Z
CEREBRATION'S	S EH R AH B R EY SH AH N Z
STIGMAS	S T IH G M AH Z
WINDINESS	W IH N D IY N AH S
GREASES	G R IY S IH Z
CHOLESTASIS	CH AH L EH S T AH S AH S
WHAPPED	W AA P T
HASH-SLINGING	HH AE SH S L IH NG IH NG
VERA'S	V EH R AH Z
C/C==C\C	S IY K
MARGARINE'S	M AA R JH ER AH N Z
TELLY'LL	T EH L IY L
ORACULAR	AH R AH S Y AH L AH R
BENZOFURAN	B IH N Z AA F Y AH R AH N
ETHER-OXYGEN	IY TH ER AA K S AH JH AH N
BICYCLICALS	B AY S IH K L IH K AH L Z
SAM'WICH	S AE M W AH CH
5-YEAR-OLD	F AY V Y IH R OW L D
COUNTERMANDED	K OW AH N T AH R M AE N D AH D
PATRICIAN'S	P AH T R IH SH AH N Z
COURTLIEST	K OW R T L IY AH S T
MANNERLY	M AE N ER L IY
SUTRA	S AH T R AH
OUTFLOWING	AW T F L OW IH NG
HOPED-TO-BE	HH OW P T T UW B IY
OLDEN-TIME	OW L D AH N T AY M
CARDIOGNOST	K AA R D IY AA G N AH S T
RIDICULUM	R IH D AH K Y UW L AH M
LAP-DANCE	L AE P D AE N S
DAFFIEST	D AE F AY AH S T
MATH-TEACHING	M AE TH T IY CH IH NG
CACHINNATIONS	K AE CH AH N EY T IY AH N Z
CIRCUMFLECTED	S ER K AH M F L EH K T IH D
WENCHIN	W EH NG K AH N
KNEE-PADS	N IY P AE D Z
BRAMATHERIUM'S	B R AE M AH TH IY R IY AH M Z
OSHA-COMPLIANT	OW SH AH K AH M P L AY AH N T
CHYMOTRYPSIN	CH IH M AH T R IH P S AH N
SINE-OVER-TAN	S AY N OW V ER T AE N
LESS-THAN-SPECTACULAR	L EH S DH AE N S P EH K T AE K Y AH L ER
UNDERCORRECTED	AH N D ER K AH R EH K T IH D
SCURRIER	S K ER IY ER
MORNING-TIME	M AO R N IH NG T AY M
GEOCENTRICAL	JH IY OW S EH N T R IH K AH L
DOUBLE-WRAPPED	D AH B AH L R AE P T
BUBBLE-WRAPPED	B AH B AH L R AE P T
BORG-LIKE	B AO R G L AY K
PHOBOPHILIA'S	F AA B AH F IH L Y AH Z
ANTI-ANTIMISSILE-MISSILE-MISSILE	AE N T IY AE N T AY M IH S AH L M IH S AH L M IH S AH L
TONE-DEAF	T OW N D EH F
BI-WEEKLY	B AY W IY K L IY
BODY-CENTERING	B AA D IY S EH N T ER IH NG
HALF-HALF-HALF	HH AE F HH AE F HH AE F
ORTHORHOMBIC	AO R TH AH R AA M B IH K
COMMONSENSIBLE	K AA M AH N S EH N S AH B AH L
TWO-BIRD	T UW B ER D
COLLIGEON	K AA L IH JH AH N
CHICKENHAWKS	CH IH K AH N HH AO K S
EVEN-SPACED	IY V IH N S P EY S T
WUZN'T	W AH Z N T
TERN'S	T ER N Z IX Z
CHIEFEST	CH IY F AH S T
CLOTHING-OPTIONAL	K L OW DH IH NG AA P SH AH N AH L
CAUSIDICS	K AO Z AH D IH K S
CROSS-ED	K R AO S EH D
SELF-INTERFERENCE	S EH L F IH N T ER F IH R AH N S
PARALLEL-STRIPEY	P EH R AH L EH L S T R AY P IY
COLIBACILLUS	K OW L IH B AH S IH L AH S
COLIBACILLURIA	K OW L IH B AH S AH L UH R IY AH
COLIBACILLEMIA	K OW L IH B AH S AH L IY M IY AH
MURD	M AH R D
CAUGHT-IN-THE-ACT	K AA T IH N DH AH AE K T
NO-WIN	N OW W IH N
HALOGENATION	HH AE L AH JH AH N EY SH AH N
CATOPTROMANCERS	K AE T AA P T R OW M AE N S ER Z
CATOPTER	K AE T AA P T ER
VARIATES	V EH R IY AH T S
COVARIANCE	K OW V EH R IY AH N S
TRIPE-WRITING	T R AY P R AY T IH NG
COTTON-PICKING	K AA T AH N P IH K IH NG
PERPLEXT	P AH R P L EH K S T
COPYEDITING	K AA P IY EH D AH T IH NG
EGNLISH	EH G N L AH SH
UNDERSTUD	AH N D ER S T AH D
ALLECTIVES	AE L EH K T AH V Z
BOOTYOUS	B UW T IY AH S
MINEY	M AY N IY
CORTECTOMY	K AA R T EH K T AH M IY
RETOIN	R AH T OY N
ROCK'LL	R AA K L
CONNOISSE	K AA N OY S
CONTORTUPLICATE	K AH N T AO R T AH P L AY S AH T
REASSORTED	R IY AH S AO R T IH D
WOODSCREWS	W UH D S K R UW Z
COUNTER-CULTURAL	K AW N T ER K AH L CH ER AH L
INDWELL	IH N D W EH L
ANAESTHETIZE	AH N IY S TH AH T AY Z
SEAHORSES	S IY HH AO R S IH Z
CHATURANGA	CH AE T Y AH R AE N G AH
DANDASANA	D AE N D AE S AH N AH
DOG-GROOMING	D AO G G R UW M IH NG
COCOZELLE'S	K OW K AH Z EH L AH Z
BISULFATE'S	B AY S AH L F EY T AH Z
IMPLYIN	IH M P L AY IH N
HSO4	EY CH EH S OW F OW R
UNIVALENT	Y UW N IH V EY L AH N T
ANOSPHRESIA'S	AE N AH S R IY S IY AH Z
CON-VICTED	K AA N V IH K T AH D
CARMOT	K AA R M AH T
GREAT-TASTING	G R EY T T EY S T IH NG
SELF-CONTRADICTORY	S EH L F K AA N T R AH D IH K T ER IY
COOLISH	K UW L IH SH
CONSENTIENT	K AH N S EH N CH AH N T
CHRISTELLA	K R IH S T EH L AH
SOAPSTONE	S OW P S T OW N
COPESTONE	K OW P S T OW N
CONCERTGOER	K AH N S ER T G OW ER
CLARIONET	K L AH R IY AH N AH T
CAN'T-TEMPT-YOU-US	K AE N T T EH M P T Y UW AH S
MOCKINGBIRDS	M AA K IH NG B ER D Z
NUT-HATCH	N AH T HH AE CH
AMUSIVELY	AH M Y UW Z IH V L IY
CONJUNCTLY	K AH N JH AH NG K T L IY
DEFUNCTLY	D IH F AH NG K T L IY
FLOCCULI	F L AA K Y AH L IY
OCULI	AA K Y AH L IY
COCCULUS	K AA K Y AH L AH S
CONSIGLIERI	K AA N S IH G L AH R IY
COARSEN	K OW R S AH N
ENDORSIN	EH N D ER S IH N
WHORESON	HH OW R S AH N
CONTRO-VERSER	K AA N T R OW V ER S ER
CASTIGATION	K AE S T AH G EY SH AH N
COGENCE	K OW JH AH N S
CLOGGY	K L AA G IY
COCKCROW	K AA K R OW
MIS-SET	M IH S S EH T
COCKUP	K AA K AH P
TRANSFORM'S	T R AE N S F AO R M Z
CLAMMIEST	K L AE M IY AH S T
BRASSIEST	B R AE S IY AH S T
SNAKE-TAILED	S N EY K T EY L D
HELLHOUNDS	HH EH L HH AW N D Z
KERBEROS	K AH R B AH R AH Z
COUGHER	K AO F ER
CONSOLIDANT	K AH N S AA L AH D AH N T
ATOMISED	AE T AH M IY Z D
TWEEDLEDEE	T W IY D L EH D IY
CLAVICORN	K L AE V AH K AH R N
COCOZELLE	K OW K AH Z EH L
ASSERTABLY	AH S ER T AH B L IY
INCONTROVERTIBLY	IH N K AA N T R AH V ER T AH B AH L IY
COPROLOGY	K OW P R OW L AA G IY
COMESTIBLES	K AH M AH S T AH B AH L Z
MCFRIES	M K R AY Z
CONVOLVULACEAE	K AA N V OW L V Y AH L EY S IY
CLASSLESSNESS	K L AE S L AH S N AH S
LASSLESSNESS	L AE S L AH S N AH S
OVERGENERALIZATION	OW V ER JH EH N ER AH L AH Z EY SH AH N
YEWS	Y UW Z
BLINKIN	B L IH NG K IH N
QUOAD	K W OW D
YURES	Y UH R Z
COMPENDIARY	K AH M P EH N D AY AH R IY
TEECHER	T IY CH AH R
COMPELING	K AH M P EH L IH NG
FORETELS	F AO R AH T AH L Z
EXPELL	IH K S EH L
YELS	Y EH L Z
COMPELL	K AA M P EH L
HEL	HH EH L
EXCELL	EH K S EH L
MISPELING	M IH S P EH L IH NG
COMPLEXIFICATION	K AH M P L EH K S AH F AH K EY SH AH N
ANGIOCARDIOGRAM	AE N JH IY AH K AA R D IY AA G R AH M
CONVULSING	K AH N V AH L S IH NG
ZZZZZZZZ	Z IY Z IY Z IY Z IY Z IY Z IY Z IY Z
}	
FIRE-LOG	F AY ER L AO G
AGNISTAMBHASANA	AE G N IH S T AH M B HH AE S AH N AH
AOIDE	EY OY D
CHALK-LADEN	CH AA K L EY D AH N
CHALK-WIELDING	CH AA K W IY L D IH NG
PIPETTED	P AY P EH T IH D
AGAROSE	AE G AH R OW Z
CALEFACTORY	K AE L AH F AH K T AO R IY
QUIXOTICALLY	K W IH K S AA T IH K AH L IY
CHROMATOLOGY	K R OW M AH T AA L AH JH IY
FOETUS'S	F OW EH T AH S AH Z
CO-OPTION	K OW AA P SH AH N
TENANT-FREE	T EH N AH N T F R IY
ZZZZZZZ	Z IY Z IY Z IY Z IY Z IY Z IY Z
SIO	S AY OW
IMAGI	AH M AE JH IY
DEBTORMAN	D EH T ER M AE N
UN-HOPPY	AH N HH AO P IY
SOLIDIFICATION	S AA L AH D AH F AH K EY SH AH N
FOREIGNER'S	F AO R AH N ER Z
TWO-GRANDISH	T UW G R AE N D IH SH
AUSLANDER'S	AW S L AH N D ER Z
MYSTERY'S	M IH S T ER IY Z
DE-SPOT	D IY S P AA T
GAY-BASHER	G EY B AE SH ER
SELF-DIAGNOSIS	S EH L F D AY AH G N OW S AH S
THREE-YEAR-OLD'S	TH R IY Y IH R OW L D Z
GIRLCOTT	JH AH R L K AH T
SURVIVORSHIP	S ER V IH V ER SH IH P
NEXT-GENERATIONAL	N EH K S T JH EH N ER EY SH AH N AH L
CHRONOMETER	K R OW N AA M AH T AH R
OARMONGER	OW R M AH NG AH R
HUMPING	HH AH M P IH NG
COPLANARITY'S	K OW P L EY N ER AH T IY Z
SEAT-MATES	S IY T M EY T S
THIGH-TO-THIGH	TH AY T UW TH AY
COPLANAR	K OW P L EY N ER
VIBRIO	V IH B R IY OW
CHEERLY	CH IH ER L IY
CHRONOSCOPE'S	K R AA N AH S OW P AH Z
CONTINGENCE	K AH N T IH N JH AH N S
TWIDDLE'S	T W IH D AH L Z
OXALOACETATE'S	AA K S AH L OW S AH T EY T AH Z
SYNTHASE'S	S IH N TH EY Z AH Z
OVIAL	OW V IY AH L
MUD-BALLS	M AH D B AO L Z
FISHILY	F IH SH IY L IY
ANCHOVIAL	AE N CH OW V IY AH L
HORNDOGS	HH AO R N D AO G Z
MACGREGOR'S	M AH G R EH G ER Z
SPERMERS	S P AH R M AH R Z
CONCILIATE	K AH N S IH L IY EY T
BASSIST'S	B EY S IH S TS
CONCOCTIVE	K AH N K AA K T IH V
INCOMPLEXLY	IH N K AH M P L EH K S L IY
CLUB-SHAPED	K L AH B SH EY P T
CORYNEBACTERIA	K OW R IH N AH B AH K T IY R IY AH
CONSCIENT	K AH N S AY AH N T
CONCHES	K AA N CH AH Z
NASCENTLY	N EY S AH N T L IY
CIRCUMJACENTLY	S AH R K AH M JH AH S EH N T L IY
FIRE-PRONE	F AY ER P R OW N
BATGIRL	B AE T G ER L
CHECKY	CH EH K IY
HEALTH-CONSCIOUSNESS-STRICKEN	HH EH L TH K AA N SH AH S N AH S S T R IH K AH N
ENUCLEATE	AH N AH K L IY EY T
CYBRID	S IH B R AH D
CERAMIC-GLAZED	S ER AE M IH K G L EY Z D
BEACHGOER	B IY CH G OW ER
CORNSMUT	K AA R N S M AH T
CORIXA'S	K OW R IH K S AH Z
BUG-EAT-BUG	B AH G IY T B AH G
AGGREGATIONS	AE G R IH G AH SH AH N Z
SUBMICRON	S AH B M AY K R AA N
BLOBBISH	B L AA B IH SH
MICELLAR	M AY S EH L ER
WALL-MOUNTED	W AO L M AW N T AH D
CORKBOARD	K AO R K B OW R D
PUSHPINS	P UH SH P IH N Z
CRYPTOGRAM	K R IH P T AA G R AH M
CROQUETS	K R AA K AH T S
COUNTERPARTIES	K AW N T ER P AA R T IY Z
CLOSETFUL	K L AA Z AH T F AH L
STRAIGHT-EDGE-AND-COMPASS	S T R EY T EH JH AH N D K AH M P AH S
PROOFS-BY-CONSTRUCTION	P R UW F S B AY K AH N S T R AH K SH AH N
BONE-SETTER	B OW N S EH T ER
CONDESCENDENCE	K AA N D IH S EH N D AH N S
CALCULARY	K AE L K Y AH L EH R IY
MYCOLOGICAL	M AH K AA L AH JH IH S AH L
CONCEPTACLE	K AA N S EH P T AH K AH L
JEUNES	JH UW N Z
FILLES	F IH L Z
HAMELIN'S	HH AE M AH L IH N Z
PICARD'S	P IH K AA R D Z
BETTER-KNOWN	B EH T ER N OW N
KOJAK'S	K OW JH AE K S
PINHEAD	P IH N HH EH D
BELDAR	B EH L D AH R
WOOD-CUTS	W UH D K AH T S
GLUEPOT	G L UW P AA T
CHAUNTING	CH AO N T AH NG
CRIPPLEWARE'S	K R IH P AH L W EH R Z
UN-CRIPPLE	AH N K R IH P AH L
CRAPPUCCINO	K R AE P AH K S AH N OW
ONE-SHOT	W AH N SH AA T
CASTE-CENTERED	K AE S T S EH N T ER D
CAR-TESTING	K AA R T EH S T IH NG
CRIBBLE	K R IH B AH L
CRITH	K R AY TH
POINT-OH-NINE	P OY N T OW N AY N
CORRESPONSIVE	K AA R EH S AA N Z AH V
IF-THEN	IH F DH EH N
CYTOTOXIC	S IH T AH T AH K S AH K
PYROTECHNICAL	P IH R AH T EH K N IH S AH L
LINKERS	L IH NG K ER Z
COPULATORY	K AA P Y AH L AH T AO R IY
ASCENDING'S	AH S EH N D IH NG Z
CRAGFAST	K R AE G F AE S T
CHAPERONAGE	SH AE P AH R OW N IH JH
BLUE-SKINNED	B L UW S K IH N D
CRYPTOSYSTEMS	K R IH P T AA S IY S T EH M Z
COUNTER-COMPONY	K AW N T ER K AH M P OW N IY
CRYOGENICALLY	K R AY AH JH EH N AH K AE L IY
MILLION-TO-ONE	M IH L Y AH N T UW W AH N
AZOOSPERMIA	AE Z UW S AH R M IY AH
MISSING-IN-ACTION	M IH S IH NG IH N AE K SH AH N
ANGINIFORM	AE N JH IH N AH F AH R M
ANGIECTOMY	AE N JH IY K T AH M IY
CYMBALIST	S IH M B AH L AH S T
RESEEDING	R IY S IY D IH NG
CYCLIZATION	S AY K AH L AH Z EY SH AH N
A.D.D	EY D IY D
HIPPINESS	HH IH P IY N AH S
DIPPINESS	D IH P IY N AH S
CHAPITER'S	CH AE P AH T AH R Z
CUNCTATOR	K AH NG K T EY T AH R
PUNCTUALITY'S	P AH NG K CH UW AE L IH T IY Z
CUNABULA	K Y UW N AH B Y UW L AH
ATON-RA	AH T AA N R AA
MANY-TIME	M EH N IY T AY M
GOLDURN	G OW L D ER N
CURTATE	K ER T AH T
CYCLOIDS	S IH K L OY D Z
CROSS-REFERRED	K R AO S R AH F ER D
CORNUCOPIUM'S	K AA R N Y AH K OW P IY AH M Z
CRYONIC	K R AY AO N IH K
RUNNNING	R AH N AH NG
DHANURASANA	D HH AE N Y AH R AE S AH N AH
PLOT-POINT	P L AA T P OY N T
SALIENCE	S EY L Y AH N S
DARKFUL	D AA R K F AH L
SPECTERS	S P EH K T ER Z
VIEWERSHIP'S	V Y UW ER SH IH P S
MOZILO	M AA Z AH L OW
PINOCHLE	P IY N AH K AH L
O'BAMA	AA B AH M AH
CRISCO'S	K R IY S K OW Z
CRUMBLIER	K R AH M B L IY ER
HANDS-AND-KNEES	HH AE N D Z AH N D N IY Z
SHEUSE	SH UW Z
HIP-TO-HIP	HH IH P T UW HH IH P
CUBIT'S	K Y UW B IH TS
INSURABLE	IH N SH UH R AH B AH L
ALCAPTONURIC'S	AE L K AE P T AA N Y AH R AH S Z
HOMOGENTISATE	HH OW M OW JH EH N T IY Z AH T
AIDIN	EY D IH N
PHENYLALANINE'S	F AH N IH L AH L AH N AY N AH Z
CURATE'D	K Y UH R AH T D
DOCTOR-TRAINEE	D AA K T ER T R EY N IY
CYSTOURETHROSCOPE	S IH S T AH R EH TH R AH S OW P
BIG-HEAD	B IH G HH EH D
CLOSTRIDIAL	K L AA S T R IH D IY AH L
MOON-WALKS	M UW N W AO K S
ABIOTICALLY	AH B AY AA T IH K AH L IY
SUITLESS	S UW T L AH S
TRIKE'LL	T R IH K AH L
GRUDGIN'LY	G R AH JH IH N L IY
KILLER-OF-CAT	K IH L ER AH V K AE T
NURSERY-RHYME	N ER S ER IY R AY M
RINGLET	R IH NG L AH T
TURMERIC'S	T AH R M AH R AH S Z
DARRAIGN	D AE R EY N
HARD-TO-MISS	HH AA R D T UW M IH S
CRETIC	K R IY T AH K
UN-GROUNDED	AH N G R AW N D IH D
CYLINDRICALITY	S AH L IH N D R IH K AH L AH T IY
BLACKHEART'S	B L AE K HH AA R T S
DECIDIN	D IY S AH D IH N
BIDIN	B AY D IH N
DAST	D AE S T
COLORIMETRY	K OW L AO R AH M EH T R IY
O.D	OW D
BLACK-FEATHERED	B L AE K F EH DH ER D
SIGHTEDLY	S AY T AH D L IY
CRYPTOGRAPHIC	K R IH P T AH G R AE F IH K
CYTOSOLIC	S IH T AH S AH L AH K
HEAT-SYSTEM	HH IY T S IH S T AH M
DIABATICALLY	D AY AH B AE T AH K AE L IY
ONE-BY-ONE	W AH N B AY W AH N
DAREDEVILTRY	D EH R D EH V AH L T R AY
COMPENETRATE	K AH M P EH N AH T R AH T
CAREER-WISE	K ER IH R W AY Z
TEEPEE	T IY P IY
BRAINWORK	B R EY N W ER K
THWIMMER	TH W IH M AH R
CYCLOADDITION	S IH K L OW D IH SH AH N
DACTYLOGRAM'S	D AE K T AH L AA G R AH M Z
TEETH-CLEANING	T IY TH K L IY N IH NG
FIRABLE	F AY ER AH B AH L
SHORT-SELLERS	SH AO R T S EH L ER Z
MAGNETICAL	M AE G N EH T IH K AH L
PARAMAGNETS	P AE R AH M AE G N AH T S
STRAIGHTLACED	S T R EY T L EY S T
WARRANTY'S	W AO R AH N T IY Z
CONDENSATION'S	K AA N D AH N S EY SH AH N Z
STUBBY-TAILED	S T AH B IY T EY L D
ADERMIA	AH D AH R M IY AH
CRIMPLE	K R IH M P AH L
SHEEPHERDER	SH IY P HH ER D ER
DAZY	D EY Z IY
DELERIOUS	D AH L IY R IY AH S
DE-LIVERED	D IY L IH V ER D
DEPRESSIVENESS	D IY P R EH S IH V N AH S
DEPHLOGISTICCATED	D IH F L AH JH IH S T AH K EY T AH D
DE-NEXT	D IY N EH K S T
FRACTURE'S	F R AE K CH ER Z
SUIT-PREFERENCE	S UW T P R EH F ER AH N S
SMARTA	S M AA R T AH
DAZEMENT	D EY Z M AH N T
CYANOPHYTES	S AY AE N AH F AY T S
ARRESTMENT	AH R EH S T M AH N T
POINED	P OY N D
HANG'LL	HH AE NG L
SPELLCASTING	S P EH L K AE S T IH NG
THACKERAY'S	TH AE K ER IY Z
HACKERIES	HH AE K AH R IY Z
LIME-JUICE-AND-RUM	L AY M JH UW S AH N D R AH M
IGGLE	IH G AH L
GAZIN	G AE Z AH N
DARK-FIELD	D AA R K F IY L D
BAT-CAVE	B AE T K EY V
URGIN'S	AH R JH AH N Z
DEPUDICATE	D IH P Y UW D AH S EY T
DELIQUESCENT'S	D AH L IH K W EH S AH N T S
DEEDFUL	D IY D F AH L
SPEEDFUL	S P IY D F AH L
STEEDFUL	S T IY D F AH L
STAMPEDE-FUL	S T AE M P IY D F AH L
BLEEDFUL	B L IY D F AH L
RIPPLE-EQUIPPED	R IH P AH L IH K W IH P T
WELL-REPRESENTED	W EH L R EH P R AH Z EH N T AH D
BUSHONOMICS	B AH SH AA N AH M AH S Z
ATOMICS	AH T AA M IH K S
CUCULIFORMES	K Y UW K Y UW L AH F AH R M Z
LONGISH-TAILED	L AO NG IH SH T EY L D
POINTY-WINGED	P OY N T IY W IH NG D
ZYGODACTYLY	Z IH G AH D AE K T AH L IY
BED-PARTNER	B EH D P AA R T N ER
DEVILKINS	D EH V AH L K IH N Z
DEVILET	D IY V IY L AH T
DEMONIZATIONS	D IY M AH N AH Z EY SH AH N Z
SANGUINELY	S AE N G W AY N L IY
DECIPHERABILITY	D IY S AY F ER AH B IH L AH T EH
BRRRRR	B IY AA R AA R AA R AA R
FURRIEST	F Y UH R IY AH S T
DAPIFER	D AH P AY F AH R
DAILY'S	D EY L IY Z
THESAURI	TH EH S AH R IY
OPPROBRIOUS	AA P R AA B R IY AH S
TIC-TAC	T IH K T AE K
OM"S	AA M S
CYBERNAUT'S	S AH B AH R N AH Y UW T S
ANECDOTA	AH N EH K D AH T AH
HIST'RIES	HH IH S T R AY Z
CUSSEDNESS	K AH S EH D N AH S
DENDROPHOBIC	D EH N D R AA P HH AA B IH K
DHARMSALA	D HH AA R M Z AH L AH
PRECINCT'S	P R IY S IH NG K TS
DEMONIACAL	D IH M OW N IY AE K AH L
DOT-COMICAL	D AA T K AA M IH K AH L
LAUGHINGSTOCKS	L AE F IH NG S T AA K S
BONEFISHING	B OW N F IH SH IH NG
HEXAGON'S	HH EH K S AH G AA N Z
HEXANGULAR	HH EH K S AE NG G Y AH L ER
HEPTAGON'S	HH EH P T AH G AH N Z
HEPTANGULAR	HH EH P T AE N G Y AH L AH R
DECAGON'S	D AH K AE G AH N Z
DECANGULAR	D AH K AE N G Y AH L AH R
F2F	EH F T UW EH F
AYK	EY K
2G2BT	T UW JH IY T UW B IY T IY
D8	D IY EY T
L8	EH L EY T
CUL8R	S IY Y UW EH L EY T AA R
TWEEDLEDUM'S	T W IY D L AH D AH M Z
TWEEDLEDEE'S	T W IY D L EH D IY Z
DEUTERANOPICALLY	D IY Y UW T AH R AH N AA P AH K AE L IY
SWABBIE'S	S W AA B IY Z
DINGHY'S	D IH NG IY Z
GREENSKEEPER'S	G R IY N Z K IY P ER Z
KEEP-OFF-THE-GRASS	K IY P AO F DH AH G R AE S
DEBAR	D IY B AA R
EUPHEMIZE	Y UW F AH M AY Z
DETACHMENTS	D IH T AE CH M AH N T S
PIRIFORMIS	P IH R AH F AO R M AH S
PISSING'S	P IH S IH NG Z
DEVEXITY	D IY V EH K S AH T IY
INSTRUCTIVITY	IH N S T R AH K T IH V AH T IY
CENSOR-Y	S EH N S ER W AY
UGLIFY	AH G L AH F AY
DEPREHENDED	D IH P R AH HH EH N D AH D
THEOLOGIES	TH IY AA L AH JH IY Z
DEMONOLOGIES	D IY M AH N AA L AH JH IY Z
DIABOLIST	D AY AE B AH L AH S T
DIELECTRICS	D IY L EH K T R AH S Z
BREA'S	B R IY Z
TAUTOLOGY'S	T AO T AA L AH JH IY Z
CIRCUMNUTATION	S ER K AH M N AH T EY SH AH N
DEMONOMAGY	D AH M AH N AA M AH JH IY
MORE-DEAFENING	M AO R D EH F AH N IH NG
GUNGA	G AH N G AH
MILLIHELENS	M IH L IH HH AH L AH N Z
NON-BONDED	N AA N B AA N D AH D
WAALS	W AA L Z
DIAD	D AY AH D
POLYAMORY'S	P AA L AY AE M AH R AH Z
DIABOLISM	D AY AH B AH L IH Z AH M
DIVINING'S	D AH V AY N IH NG Z
DISCONCERTINGLY	D IH S K AH N S ER T IH NG L IY
DISK-SHAPED	D IH S K SH EY P T
CURTAILERS	K ER T EY L ER Z
DENDROGRAM	D IH N D R AA G R AH M
PUFFBALL-SHAPED	P AH F B AO L SH EY P T
SCATTERBRAIN	S K AE T ER B R EY N
MANIACALLY	M AH N AY AH K AH L IY
SPANKER	S P AE NG K AH R
PROVABLY	P R UW V AH B L IY
ERAT	EH R AH T
DEMONSTRANDUM	D AH M AA N S T R AE N D AH M
ERIS'S	IY R AH S AH Z
DESECRATION'S	D EH S AH K R EY SH AH N Z
PROFANES	P R OW F EY N Z
GRADE-GRUBBER	G R EY D G R AH B ER
PADANGUSTHASANA	P AH D AE N G AH S TH AE S AH N AH
TRACK-AND-FIELD	T R AE K AH N D F IY L D
WELL-DISCIPLINED	W EH L D IH S AH P L AH N D
SLOGS	S L AA G Z
DUVEL	D Y UW V AH L
SPASM'S	S P AE Z AH M Z
ONE-LIPPED	W AH N L IH P T
MORDER	M AO R D AH R
R.D.D	AA R D IY D
LIMMERICK'S	L IH M AH R AH K S
BIRD-HATING	B ER D HH EY T IH NG
AVICIDALLY	AH V AY S AH D AH L IY
NEAT-FREAK	N IY T F R IY K
CONCUPISCENTIALLY	K AH N K AH P IY Z S EH N T IY AH L IY
ALL-AT-ONCE	AO L AE T W AH N S
INANEFUL	IH N EY N F AH L
DISEMPOWERED	D IH S IH M P AW ER D
SCOWL'D	S K AW L D
DISEMBOWELED	D IH S IH M B AW AH L D
DISEMBOWERED	D IH S IH M B AW ER D
DISCOUPLED	D IH S K AH P AH L D
CONSTITUTIONALS	K AA N S T AH T UW SH AH N AH L Z
SUBTRACTIONS	S AH B T R AE K SH AH N Z
DISTRACTIBILITY	D IH S T R AE K T AH B IH L AH T IY
DOUBLE-ZERO	D AH B AH L Z IY R OW
BROKEN-BONED	B R OW K AH N B OW N D
MICK'S	M IH K S
KRUPKE	K R AH P
WIDE'LL	W AY D L
AVICIDAL	AH V AY S AH D AH L
ENOLATE'S	AH N AH L EY T AH Z
STRENGTHY	S T R EH NG TH IY
ONE-YEAR-OLD	W AH N Y IH R OW L D
BUBBELEH	B AH B AH L
NOCTEM	N AA K T AH M
REDLY	R EH D L IY
DIPYRAMIDAL	D IH P IY R AE M AH D AH L
BUSYING	B IH Z IY IH NG
INFANTRIES	IH N F AH N T R IY Z
FORESEEABLY	F OW R S IY AH B L IY
DYEINGS	D AY IH NG Z
PECCABLY	P EH K AH B L IY
BRAIN-DAMAGED	B R EY N D AE M AH JH D
FESTIVELY	F EH S T IH V L IY
INSCULPTED	IH N S K AH L P T IH D
BHARADVAJASANA'S	B HH AH R AE D AH JH AE S AH N AH Z
LIST'NERS	L IH S T N AH R Z
UGLY-ANIMAL	AH G L IY AE N AH M AH L
AD-OUT	AE D AW T
DISADVANTAGEOUSLY	D IH S AE D V AE N T EY JH AH S L IY
RE-ELECTED	R EY IH L EH K T AH D
UPPISH	AH P IH SH
TWO-BASE	T UW B EY S
DOUBLE-CROSSING	D AH B AH L K R AO S IH NG
DARWINIST'S	D AA R W AH N AH S T S
DOOMSDAY'S	D UW M Z D EY Z
DIMORPHOUS	D AH M AO R F AH S
DOUBLE-HEADING'S	D AH B AH L HH EH D IH NG Z
LITTLE-ENGINE-THAT-COULD	L IH T AH L EH N JH AH N DH AE T K UH D
EMPHATIC'LY	IH M F AH T IH K L IY
BONESET	B OW N S EH T
BONELET	B OW N L AH T
THOROUGHWORT	TH AH R AW W AH R T
ACARID	AH K EH R AH D
DISEMBRANGLE	D IH S AH M B R AE N G AH L
PERTINACIOUSLY	P ER T AH N AH S IY AH S L IY
POPULIST'S	P AA P Y AH L AH S TS
TRANSYLVANIANS	T R AE N S Y L V EY N IY AH N Z
SAVASANA	S AH V AE S AH N AH
ACCIDENT'LLY	AE K S AH D AH N T L IY
MORPHOSED	M AO R F AA S T
ANAMORPHOSIS	AE N AH M AH R F OW S AH S
ANDRE'S	AA N D R EY Z
DAMAGEABILITY	D AE M IH JH AH B IH L AH T EH
COMFITS	K AH M F IH T S
DISCOMFITED	D IH S K AH M F IH T IH D
SUGAR-WRAPPED	SH UH G ER R AE P T
HONEY-DIPPED	HH AH N IY D IH P T
AUSPEX	AO S AH K S
HOMIN	HH AA M AH N
PROPHETICAL	P R AH F EH T IH K AH L
HELICES	HH IY L AH S
SEEGER'S	S IY G ER Z
DEVI	D AH V IY
PARVATI	P AA R V AH T IY
